category,title,date,time,where,url
영화,개막식 +  더 스트림  초청상영,2018.06.30~2018.07.01,,시네마 테크 2관,https://www.koreafilm.or.kr
영화,안조가의 무도회,2018.06.19~2018.07.01,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,스물 네 개의 눈동자,2018.06.19~2018.07.01,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,학생 섹션 1,2018.06.30~2018.07.01,,시네마 테크 2관,https://www.koreafilm.or.kr
영화,학생 섹션 2,2018.06.30~2018.07.01,,시네마 테크 2관,https://www.koreafilm.or.kr
영화,하얀 거탑,2018.06.19~2018.07.01,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,모래의 여자,2018.06.19~2018.07.01,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,학생 섹션3,2018.06.30~2018.07.01,,시네마 테크 2관,https://www.koreafilm.or.kr
영화,EXiS  초청상영 + 폐막식,2018.06.30~2018.07.01,,시네마 테크 2관,https://www.koreafilm.or.kr
영화,일본 곤충기,2018.06.19~2018.07.01,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,불량소년,2018.06.19~2018.07.01,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,지금은맞고그때는틀리다,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,강철비,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,아수라,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,리틀 포레스트,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,박열,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,오빠생각,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,군함도,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,소공녀,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,소셜포비아,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
영화,버닝,2018.07.03~2018.07.11,,시네마 테크 1관,https://www.koreafilm.or.kr
